0:0:0:0:0:0:0:1 - - [23/May/2019:13:07:02 +0800] "GET /web-logistics/css/bootstrap.min.js HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [23/May/2019:13:07:02 +0800] "GET /web-logistics/css/jquery-1.8.3.min.js HTTP/1.1" 404 1025
0:0:0:0:0:0:0:1 - - [23/May/2019:13:07:02 +0800] "GET /web-logistics/css/jquery.banner.revolution.min.js HTTP/1.1" 404 1049
0:0:0:0:0:0:0:1 - - [23/May/2019:13:07:02 +0800] "GET /web-logistics/css/banner.js HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [23/May/2019:13:07:02 +0800] "GET /web-logistics/css/top.png HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [23/May/2019:13:07:32 +0800] "GET /web-logistics/repair/toWaitCar.do HTTP/1.1" 200 11428
0:0:0:0:0:0:0:1 - - [23/May/2019:13:07:32 +0800] "GET /web-logistics/repair/allCarDetails.do HTTP/1.1" 200 720
0:0:0:0:0:0:0:1 - - [23/May/2019:13:07:32 +0800] "POST /web-logistics/repair/allCar.do HTTP/1.1" 200 3966
0:0:0:0:0:0:0:1 - - [23/May/2019:13:07:32 +0800] "GET /web-logistics/repair/allCarDetails.do HTTP/1.1" 200 720
0:0:0:0:0:0:0:1 - - [23/May/2019:13:07:35 +0800] "GET /web-logistics/repair/toCheckMan.do HTTP/1.1" 200 10852
0:0:0:0:0:0:0:1 - - [23/May/2019:13:07:35 +0800] "POST /web-logistics/repair/allCar.do?state2=1 HTTP/1.1" 200 408
0:0:0:0:0:0:0:1 - - [23/May/2019:13:07:35 +0800] "POST /web-logistics/repair/allCarHistory.do HTTP/1.1" 200 5128
0:0:0:0:0:0:0:1 - - [23/May/2019:13:08:22 +0800] "GET /web-logistics/imgs/7htc.jpg HTTP/1.1" 200 106304
0:0:0:0:0:0:0:1 - - [23/May/2019:13:08:22 +0800] "GET /web-logistics/forward/about.do HTTP/1.1" 200 7709
0:0:0:0:0:0:0:1 - - [23/May/2019:13:08:22 +0800] "GET /web-logistics/imgs/ww.png HTTP/1.1" 200 17919
